#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years)
4,The Tale Of The Body Thief,Anne Rice,Fiction,No,Yes,English,435,Chicago,Yes,Rec,Yes,!,"November 15, 2020",N/A,N/A,N/A
,Old Possum's Book Of Practical Cats,T.S. Eliot,Poetry,No,Yes,English,59,Chicago,Yes,Rec,Rec,!,"July 30, 2022",N/A,N/A,N/A
,Maoism,Julia Lovell,China,No,Yes,English,465,Boston,Yes,Rec,Yes,Rec,"October 5, 2022",N/A,N/A,N/A
,Steel Crow Saga,Paul Krueger,Fiction,No,Yes,English,512,Boston,Yes,Rec,Yes,!,"October 5, 2022",N/A,N/A,N/A
,Victoria,A.N. Wilson,Biography,No,Yes,English,575,Chicago,Yes,Rec,Yes,!,,N/A,N/A,N/A
,In Search Of The Old Ones,David Roberts,Native Americans,No,Yes,English,238,Chicago,Yes,Rec,Rec,!,,N/A,N/A,N/A
,"Wild Things, Wild Places",Jane Alexander,Science,No,Yes,English,295,Chicago,Yes,Rec,Rec,!,,N/A,N/A,N/A
,The Winter Of Our Discontent,John Steinbeck,Classic,No,Yes,English,358,Chicago,Yes,No,Yes,!,,N/A,N/A,N/A
,The Rise And Fall Of Alexandria,Justin Pollard & Howard Reid,Egyptian Studies,No,Yes,English,290,Chicago,Yes,Rec,Rec,!,,N/A,N/A,N/A
,Factory Girls,Lislie T. Chang,China,No,Yes,English,407,Chicago,Yes,Rec,Yes,!,,N/A,N/A,N/A
,K,Tyler Kepner,American History,No,Yes,English,275,Chicago,Yes,Rec,Yes,!,,N/A,N/A,N/A
,The Children Of Henry VIII,Alison Weir,Biography,Yes,Yes,English,366,Chicago,Yes,Rec,Yes,!,"January 1, 2016","July 28, 2020",1670,4.575342466
,Before The Dawn,Nicholas Wade,Anthropology,Yes,Yes,English,279,Chicago,Yes,Rec,Yes,!,"July 1, 2019","August 31, 2019",61,0.1671232877
,Vacation Guide To The Solar System,Olivia Koski & Jana Grevich,Science,Yes,Yes,English,228,Chicago,Yes,Rec,Rec,!,"July 1, 2019","August 26, 2020",422,1.156164384
